form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,epistemic_tag,variants_tag,analysis_tag,overabundance_tag,source,page,language_id
komsaikul036,hmu,3.pl.1.sg.fut.aff,an-hmu-sik-eng,an-Σ-sik-eng,a+n+Σ+sik+eng,a n Σ s i k e ŋ,a + n + Σ + s i k + e ŋ,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul037,hmu,3.pl.1.pl.excl.fut.aff,an-hmu-sik-ung,an-Σ-sik-ung,a+n+Σ+sik+ung,a n Σ s i k u ŋ,a + n + Σ + s i k + u ŋ,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul038,hmu,3.pl.1.pl.incl.fut.aff,an-hmu-sik-me,an-Σ-sik-me,a+n+Σ+sik+me,a n Σ s i k m e,a + n + Σ + s i k + m e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul039,hmu,3.sg.2.sg.fut.aff,a-hmu-sik,a-Σ-sik,a+Σ+sik+che,a Σ s i k tʃ e,a + Σ + s i k + tʃ e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul040,hmu,3.sg.2.pl.fut.aff,a-hmu-sik-chei,a-Σ-sik-chei,a+Σ+sik+chei,a Σ s i k tʃ ei,a + Σ + s i k + tʃ ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul041,hmu,3.pl.2.sg.fut.aff,an-hmu-sik-che,an-Σ-sik-che,a+n+Σ+sik+che,a n Σ s i k tʃ e,a + n + Σ + s i k + tʃ e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul042,hmu,3.pl.2.pl.fut.aff,an-hmu-sik-chei,an-Σ-sik-chei,a+n+Σ+sik+chei,a n Σ s i k tʃ ei,a + n + Σ + s i k + tʃ ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul043,hmu,3.sg.3.sg.fut.aff,a-hmu-sik,a-Σ-sik,a+Σ+sik,a Σ s i k,a + Σ + s i k,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul044,hmu,3.sg.3.pl.fut.aff,a-hmu-sik-hei,a-Σ-sik-hei,a+Σ+sik+hei,a Σ s i k h ei,a + Σ + s i k + h ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul045,hmu,3.pl.3.sg.fut.aff,an-hmu-sik,an-Σ-sik,a+n+Σ+sik,a n Σ s i k,a + n + Σ + s i k,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
